Site,Date,Depth,Temp
10_tom,2025-04-19,50,3.808801554143429
10_tom,2025-04-20,5,6.952452175319195
10_tom,2025-04-20,10,6.313760809600353
10_tom,2025-04-20,15,5.494155719876289
10_tom,2025-04-20,20,5.17554248124361
10_tom,2025-04-20,30,4.333964064717293
10_tom,2025-04-20,40,3.916470855474472
10_tom,2025-04-20,50,3.808069109916687
10_tom,2025-04-21,5,7.006653048098087
10_tom,2025-04-21,10,6.436078995466232
10_tom,2025-04-21,15,5.520523712038994
10_tom,2025-04-21,20,5.192388698458672
10_tom,2025-04-21,30,4.319315180182457
10_tom,2025-04-21,40,3.9106113016605377
10_tom,2025-04-21,50,3.8058717772364616
10_tom,2025-04-22,5,6.968565948307514
10_tom,2025-04-22,10,6.494674533605576
10_tom,2025-04-22,15,5.551286369562149
10_tom,2025-04-22,20,5.2172918021678925
10_tom,2025-04-22,30,4.311258293688297
10_tom,2025-04-22,40,3.9040193036198616
10_tom,2025-04-22,50,3.803674444556236
10_tom,2025-04-23,5,7.120181903243065
10_tom,2025-04-23,10,6.540086075663567
10_tom,2025-04-23,15,5.600360132753849
10_tom,2025-04-23,20,5.25318156927824
10_tom,2025-04-23,30,4.301736518740654
10_tom,2025-04-23,40,3.898892194032669
10_tom,2025-04-23,50,3.803674444556236
10_tom,2025-04-24,5,7.243232533335686
10_tom,2025-04-24,10,6.556199848651886
10_tom,2025-04-24,15,5.615009017288685
10_tom,2025-04-24,20,5.260506011545658
10_tom,2025-04-24,30,4.285622745752335
10_tom,2025-04-24,40,3.9003570824861526
10_tom,2025-04-24,50,3.808069109916687
10_tom,2025-04-25,5,7.439527586102486
10_tom,2025-04-25,10,6.692434474825859
10_tom,2025-04-25,15,5.762962751090527
10_tom,2025-04-25,20,5.393078416585922
10_tom,2025-04-25,30,4.35740227997303
10_tom,2025-04-25,40,3.920865520834923
10_tom,2025-04-25,50,3.816858440637589
10_tom,2025-04-26,5,7.409497372806072
10_tom,2025-04-26,10,7.026429042220116
10_tom,2025-04-26,15,6.084505766630173
10_tom,2025-04-26,20,5.6758018881082535
10_tom,2025-04-26,30,4.528794229030609
10_tom,2025-04-26,40,3.964079730212688
10_tom,2025-04-26,50,3.832239769399166
10_tom,2025-04-27,5,7.516434229910374
10_tom,2025-04-27,10,7.142155230045319
10_tom,2025-04-27,15,6.061067551374435
10_tom,2025-04-27,20,5.63332012295723
10_tom,2025-04-27,30,4.503891125321388
10_tom,2025-04-27,40,3.966277062892914
10_tom,2025-04-27,50,3.840296655893326
10_tom,2025-04-28,5,7.717123948037624
10_tom,2025-04-28,10,7.105533018708229
10_tom,2025-04-28,15,5.953398250043392
10_tom,2025-04-28,20,5.526383265852928
10_tom,2025-04-28,30,4.452620029449463
10_tom,2025-04-28,40,3.966277062892914
10_tom,2025-04-28,50,3.8512833192944527
10_tom,2025-04-29,5,7.69075595587492
10_tom,2025-04-29,10,6.885799750685692
10_tom,2025-04-29,15,5.742454312741756
10_tom,2025-04-29,20,5.346201986074448
10_tom,2025-04-29,30,4.343485839664936
10_tom,2025-04-29,40,3.9560228437185287
10_tom,2025-04-29,50,3.856410428881645
10_tom,2025-04-30,5,7.588946208357811
10_tom,2025-04-30,10,6.870418421924114
10_tom,2025-04-30,15,5.700704991817474
10_tom,2025-04-30,20,5.300790444016457
10_tom,2025-04-30,30,4.303201407194138
10_tom,2025-04-30,40,3.9560228437185287
10_tom,2025-04-30,50,3.8651997596025462
10_tom,2025-05-01,5,7.762535490095615
10_tom,2025-05-01,10,7.039613038301468
10_tom,2025-05-01,15,5.830347619950771
10_tom,2025-05-01,20,5.409192189574242
10_tom,2025-05-01,30,4.3522751703858376
10_tom,2025-05-01,40,3.9772637262940407
10_tom,2025-05-01,50,3.884975753724575
10_tom,2025-05-02,5,8.199072249233723
10_tom,2025-05-02,10,7.529618225991726
10_tom,2025-05-02,15,6.2602923810482025
10_tom,2025-05-02,20,5.795190297067165
10_tom,2025-05-02,30,4.58226265758276
10_tom,2025-05-02,40,4.040253929793835
10_tom,2025-05-02,50,3.91573841124773
10_tom,2025-05-03,5,8.176366478204727
10_tom,2025-05-03,10,8.015961192548275
10_tom,2025-05-03,15,6.839655764400959
10_tom,2025-05-03,20,6.318155474960804
10_tom,2025-05-03,30,4.852534577250481
10_tom,2025-05-03,40,4.124485015869141
10_tom,2025-05-03,50,3.950895734131336
10_tom,2025-05-04,5,8.310403771698475
